customerID,Male,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumServices,AverageCharges,TenureBucket,TenureContract,HighPaying,CostPerService,ServiceRatio,PricePerTenureMonth,TenureMonthlyCharge,TenureNumServices
6467-CHFZW,True,False,True,True,47,True,True,True,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.35,4749.15,True,6,98.940625,3-4 years,3-4 yearsMonth-to-month,True,14.134375,0.6666666666666666,96.87083333333332,4669.45,282
8665-UTDHZ,True,False,True,True,1,False,False,True,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.2,30.2,True,2,15.1,<1 year,<1 yearMonth-to-month,False,5.033333333333333,0.2222222222222222,0.0,30.2,2
5248-YGIJN,True,False,True,False,72,True,True,True,True,True,True,True,True,True,Two year,True,Credit card (automatic),90.25,6369.45,False,9,87.2527397260274,5+ years,5+ yearsTwo year,True,8.72527397260274,1.0,86.01643835616439,6498.0,648
8773-HHUOZ,False,False,False,True,17,True,False,True,False,False,False,False,True,True,Month-to-month,True,Mailed check,64.7,1093.1,True,4,60.727777777777774,1-2 years,1-2 yearsMonth-to-month,False,12.145555555555555,0.4444444444444444,57.133333333333326,1099.9,68
3841-NFECX,False,True,True,False,71,True,True,True,True,True,True,True,False,False,Two year,True,Credit card (automatic),96.35,6766.95,False,7,93.98541666666668,5+ years,5+ yearsTwo year,True,11.748177083333331,0.7777777777777778,92.6472222222222,6840.849999999999,497
4929-XIHVW,True,True,True,False,2,True,False,True,False,False,True,False,True,True,Month-to-month,True,Credit card (automatic),95.5,181.65,False,5,60.55,<1 year,<1 yearMonth-to-month,True,10.091666666666669,0.5555555555555556,28.71666666666667,191.0,10
6827-IEAUQ,False,False,True,True,27,True,False,True,True,True,True,True,False,False,One year,False,Mailed check,66.15,1874.45,False,6,66.94464285714285,2-3 years,2-3 yearsOne year,False,9.563520408163264,0.6666666666666666,64.58214285714286,1786.0500000000002,162
7310-EGVHZ,True,False,False,False,1,True,False,False,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),20.2,20.2,False,1,10.1,<1 year,<1 yearMonth-to-month,False,5.05,0.1111111111111111,0.0,20.2,1
3413-BMNZE,True,True,False,False,1,True,False,True,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False,2,22.625,<1 year,<1 yearMonth-to-month,False,7.541666666666667,0.2222222222222222,0.0,45.25,2
6234-RAAPL,False,False,True,True,72,True,True,True,True,True,False,True,True,False,Two year,False,Bank transfer (automatic),99.9,7251.7,False,7,99.33835616438355,5+ years,5+ yearsTwo year,True,12.417294520547944,0.7777777777777778,97.96986301369864,7192.8,504
6047-YHPVI,True,False,False,False,5,True,False,True,False,False,False,False,False,False,Month-to-month,True,Electronic check,69.7,316.9,True,2,52.81666666666666,<1 year,<1 yearMonth-to-month,False,17.605555555555554,0.2222222222222222,41.2,348.5,10
6572-ADKRS,False,False,False,False,46,True,False,True,False,False,True,False,False,False,Month-to-month,True,Credit card (automatic),74.8,3548.3,False,3,75.49574468085106,3-4 years,3-4 yearsMonth-to-month,True,18.873936170212765,0.3333333333333333,73.90425531914893,3440.8,138
5380-WJKOV,True,False,False,False,34,True,True,True,False,True,True,False,True,True,Month-to-month,True,Electronic check,106.35,3549.25,True,7,101.40714285714286,2-3 years,2-3 yearsMonth-to-month,True,12.675892857142856,0.7777777777777778,98.36857142857144,3615.9,238
8168-UQWWF,False,False,False,False,11,True,True,True,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,True,6,92.11666666666667,<1 year,<1 yearMonth-to-month,True,13.15952380952381,0.6666666666666666,83.9625,1076.35,66
8865-TNMNX,True,False,True,True,10,True,False,True,False,True,False,False,False,False,One year,False,Mailed check,49.55,475.7,False,3,43.24545454545454,<1 year,<1 yearOne year,False,10.811363636363636,0.3333333333333333,38.74090909090909,495.5,30
9489-DEDVP,False,False,True,True,70,True,True,True,True,True,False,False,True,False,Two year,True,Credit card (automatic),69.2,4872.35,False,6,68.62464788732395,5+ years,5+ yearsTwo year,False,9.803521126760565,0.6666666666666666,67.65,4844.0,420
9867-JCZSP,False,False,True,True,17,True,False,False,False,False,False,False,False,False,One year,False,Mailed check,20.75,418.25,False,1,23.23611111111111,1-2 years,1-2 yearsOne year,False,11.618055555555555,0.1111111111111111,22.08333333333333,352.75,17
4671-VJLCL,False,False,False,False,63,True,True,True,True,True,True,True,True,False,Two year,True,Credit card (automatic),79.85,4861.45,False,8,75.96015625,5+ years,5+ yearsTwo year,True,8.44001736111111,0.8888888888888888,74.71249999999999,5030.549999999999,504
4080-IIARD,False,False,True,False,13,True,True,True,True,True,False,True,True,False,Month-to-month,True,Electronic check,76.2,981.45,False,7,70.10357142857143,1-2 years,1-2 yearsMonth-to-month,True,8.762946428571428,0.7777777777777778,64.66071428571429,990.6,91
3714-NTNFO,False,False,False,False,49,True,True,True,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.5,3906.7,False,4,78.134,4-5 years,4-5 yearsMonth-to-month,True,15.6268,0.4444444444444444,76.444,4140.5,196
5948-UJZLF,True,False,False,False,2,True,False,True,False,True,False,False,False,False,Month-to-month,False,Mailed check,49.25,97.0,False,3,32.333333333333336,<1 year,<1 yearMonth-to-month,False,8.083333333333334,0.3333333333333333,15.916666666666666,98.5,6
7760-OYPDY,False,False,False,False,2,True,False,True,False,False,False,False,True,False,Month-to-month,True,Electronic check,80.65,144.15,True,3,48.05,<1 year,<1 yearMonth-to-month,True,12.0125,0.3333333333333333,21.166666666666668,161.3,6
7639-LIAYI,True,False,False,False,52,True,True,True,True,False,False,True,True,True,Two year,True,Credit card (automatic),79.75,4217.8,False,7,79.5811320754717,4-5 years,4-5 yearsTwo year,True,9.947641509433964,0.7777777777777778,78.07641509433962,4147.0,364
2954-PIBKO,False,False,True,True,69,True,True,True,True,False,True,True,False,False,Two year,True,Credit card (automatic),64.15,4254.1,False,6,60.77285714285715,5+ years,5+ yearsTwo year,False,8.681836734693878,0.6666666666666666,59.85642857142858,4426.35,414
8012-SOUDQ,False,True,False,False,43,True,True,True,False,True,False,False,True,False,Month-to-month,True,Electronic check,90.25,3838.75,False,5,87.24431818181819,3-4 years,3-4 yearsMonth-to-month,True,14.540719696969695,0.5555555555555556,85.19318181818181,3880.75,215
9420-LOJKX,False,False,False,False,15,True,False,True,True,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.1,1426.4,True,6,89.15,1-2 years,1-2 yearsMonth-to-month,True,12.735714285714286,0.6666666666666666,82.95625000000001,1486.5,90
6575-SUVOI,False,True,True,False,25,True,True,True,True,False,False,True,True,False,Month-to-month,True,Credit card (automatic),69.5,1752.65,False,6,67.40961538461539,2-3 years,2-3 yearsMonth-to-month,False,9.629945054945056,0.6666666666666666,64.73653846153846,1737.5,150
7495-OOKFY,False,True,True,False,8,True,True,True,False,True,False,False,False,False,Month-to-month,True,Credit card (automatic),80.65,633.3,True,4,70.36666666666666,<1 year,<1 yearMonth-to-month,True,14.073333333333332,0.4444444444444444,61.40555555555555,645.2,32
4667-QONEA,False,True,True,True,60,True,False,True,True,True,True,True,False,True,One year,True,Credit card (automatic),74.85,4456.35,False,7,73.05491803278689,4-5 years,4-5 yearsOne year,True,9.13186475409836,0.7777777777777778,71.82786885245902,4491.0,420
1658-BYGOY,True,True,False,False,18,True,True,True,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.45,1752.55,True,5,92.23947368421052,1-2 years,1-2 yearsMonth-to-month,True,15.373245614035088,0.5555555555555556,87.21578947368421,1718.1,90
8769-KKTPH,False,False,True,True,63,True,True,True,True,False,False,False,True,True,One year,True,Credit card (automatic),99.65,6311.2,False,6,98.6125,5+ years,5+ yearsOne year,True,14.0875,0.6666666666666666,97.05546875,6277.950000000001,378
5067-XJQFU,True,True,True,True,66,True,True,True,False,True,True,True,True,True,One year,True,Electronic check,108.45,7076.35,False,8,105.61716417910448,5+ years,5+ yearsOne year,True,11.735240464344942,0.8888888888888888,103.99850746268658,7157.7,528
3957-SQXML,False,False,True,True,34,True,True,False,False,False,False,False,False,False,Two year,False,Credit card (automatic),24.95,894.3,False,2,25.55142857142857,2-3 years,2-3 yearsTwo year,False,8.517142857142856,0.2222222222222222,24.838571428571427,848.3,68
5954-BDFSG,False,False,False,False,72,True,True,True,False,False,True,True,True,True,Two year,True,Credit card (automatic),107.5,7853.7,False,7,107.58493150684932,5+ years,5+ yearsTwo year,True,13.448116438356164,0.7777777777777778,106.11232876712327,7740.0,504
0434-CSFON,False,False,True,False,47,True,True,True,False,False,True,False,True,True,Month-to-month,True,Electronic check,100.5,4707.1,False,6,98.06458333333336,3-4 years,3-4 yearsMonth-to-month,True,14.009226190476191,0.6666666666666666,95.97083333333336,4723.5,282
1215-FIGMP,True,False,False,False,60,True,True,True,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.9,5450.7,False,5,89.35573770491803,4-5 years,4-5 yearsMonth-to-month,True,14.892622950819671,0.5555555555555556,87.88196721311476,5394.0,300
0526-SXDJP,True,False,True,False,72,False,False,True,True,True,True,False,False,False,Two year,False,Bank transfer (automatic),42.1,2962.0,False,4,40.57534246575342,5+ years,5+ yearsTwo year,False,8.115068493150684,0.4444444444444444,39.9986301369863,3031.2000000000003,288
0557-ASKVU,False,False,True,True,18,True,False,True,False,False,True,True,False,False,One year,True,Credit card (automatic),54.4,957.1,False,4,50.37368421052632,1-2 years,1-2 yearsOne year,False,10.074736842105263,0.4444444444444444,47.51052631578948,979.2,72
5698-BQJOH,False,False,False,False,9,True,True,True,False,False,False,False,True,True,Month-to-month,False,Electronic check,94.4,857.25,True,5,85.725,<1 year,<1 yearMonth-to-month,True,14.2875,0.5555555555555556,76.285,849.6,45
5122-CYFXA,False,False,False,False,3,True,False,True,False,True,False,True,True,True,Month-to-month,True,Electronic check,75.3,244.1,False,6,61.025,<1 year,<1 yearMonth-to-month,True,8.717857142857143,0.6666666666666666,42.2,225.9,18
8627-ZYGSZ,True,False,True,False,47,True,True,True,False,True,False,False,False,False,One year,True,Electronic check,78.9,3650.35,False,4,76.04895833333333,3-4 years,3-4 yearsOne year,True,15.209791666666666,0.4444444444444444,74.40520833333333,3708.3,188
3410-YOQBQ,False,False,False,False,31,True,False,True,False,True,True,True,True,True,Two year,False,Mailed check,79.2,2497.2,False,7,78.0375,2-3 years,2-3 yearsTwo year,True,9.7546875,0.7777777777777778,75.5625,2455.2000000000003,217
3170-NMYVV,False,False,True,True,50,True,False,False,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),20.15,930.9,False,1,18.25294117647059,4-5 years,4-5 yearsTwo year,False,9.126470588235296,0.1111111111111111,17.857843137254903,1007.5,50
7410-OIEDU,True,False,False,False,10,True,False,True,True,False,True,False,False,False,Month-to-month,True,Mailed check,79.85,887.35,False,4,80.66818181818182,<1 year,<1 yearMonth-to-month,True,16.133636363636363,0.4444444444444444,73.4090909090909,798.5,40
2273-QCKXA,True,False,False,False,1,True,False,True,False,False,False,True,False,False,Month-to-month,False,Mailed check,49.05,49.05,False,3,24.525,<1 year,<1 yearMonth-to-month,False,6.13125,0.3333333333333333,0.0,49.05,3
0731-EBJQB,False,False,True,True,52,True,False,False,False,False,False,False,False,False,One year,True,Electronic check,20.4,1090.65,False,1,20.578301886792456,4-5 years,4-5 yearsOne year,False,10.289150943396228,0.1111111111111111,20.193396226415093,1060.8,52
1891-QRQSA,True,True,True,True,64,True,True,True,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),111.6,7099.0,False,8,109.21538461538462,5+ years,5+ yearsTwo year,True,12.135042735042736,0.8888888888888888,107.49846153846153,7142.4,512
8028-PNXHQ,True,False,True,True,62,True,True,False,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),24.25,1424.6,False,2,22.61269841269841,5+ years,5+ yearsTwo year,False,7.537566137566137,0.2222222222222222,22.227777777777774,1503.5,124
5630-AHZIL,False,False,False,True,3,True,False,True,True,False,False,True,False,True,Month-to-month,True,Bank transfer (automatic),64.5,177.4,False,5,44.35,<1 year,<1 yearMonth-to-month,False,7.391666666666667,0.5555555555555556,28.225,193.5,15
2673-CXQEU,False,True,False,False,56,True,True,True,True,True,True,False,True,True,One year,False,Electronic check,110.5,6139.5,False,8,107.71052631578948,4-5 years,4-5 yearsOne year,True,11.967836257309942,0.8888888888888888,105.7719298245614,6188.0,448
6416-JNVRK,False,False,False,False,46,True,False,True,False,False,False,False,False,True,One year,False,Credit card (automatic),55.65,2688.85,False,3,57.2095744680851,3-4 years,3-4 yearsOne year,False,14.302393617021275,0.3333333333333333,56.02553191489361,2559.9,138
5590-ZSKRV,False,False,True,True,8,True,False,True,True,True,False,False,False,False,Month-to-month,False,Mailed check,54.65,482.25,False,4,53.583333333333336,<1 year,<1 yearMonth-to-month,False,10.716666666666669,0.4444444444444444,47.51111111111111,437.2,32
0191-ZHSKZ,True,True,False,False,30,True,False,True,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.3,False,6,68.10645161290323,2-3 years,2-3 yearsMonth-to-month,True,9.729493087557604,0.6666666666666666,65.69516129032259,2242.5,180
3887-PBQAO,False,False,True,True,45,True,True,False,False,False,False,False,False,False,One year,True,Credit card (automatic),25.9,1216.6,False,2,26.44782608695652,3-4 years,3-4 yearsOne year,False,8.815942028985507,0.2222222222222222,25.884782608695648,1165.5,90
5919-TMRGD,False,False,False,True,1,True,False,True,False,False,False,False,True,False,Month-to-month,True,Electronic check,79.35,79.35,True,3,39.675,<1 year,<1 yearMonth-to-month,True,9.91875,0.3333333333333333,0.0,79.35,3
8108-UXRQN,False,False,True,True,11,False,False,True,True,False,False,False,True,True,Month-to-month,False,Electronic check,50.55,565.35,False,4,47.1125,<1 year,<1 yearMonth-to-month,False,9.4225,0.4444444444444444,42.900000000000006,556.05,44
9191-MYQKX,False,False,True,False,7,True,False,True,False,False,True,False,False,False,Month-to-month,True,Bank transfer (automatic),75.15,496.9,True,3,62.1125,<1 year,<1 yearMonth-to-month,True,15.528125,0.3333333333333333,52.71875,526.0500000000001,21
9919-YLNNG,False,False,False,False,42,True,False,True,False,True,True,True,True,True,Month-to-month,True,Bank transfer (automatic),103.8,4327.5,False,7,100.63953488372093,3-4 years,3-4 yearsMonth-to-month,True,12.579941860465116,0.7777777777777778,98.22558139534884,4359.599999999999,294
0318-ZOPWS,False,False,True,False,49,True,False,False,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),20.15,973.35,False,1,19.467,4-5 years,4-5 yearsTwo year,False,9.7335,0.1111111111111111,19.064,987.35,49
4445-ZJNMU,True,False,False,False,9,True,True,True,False,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.3,918.75,False,6,91.875,<1 year,<1 yearMonth-to-month,True,13.125,0.6666666666666666,81.94500000000001,893.6999999999999,54
4808-YNLEU,False,False,True,False,35,True,False,True,True,False,False,False,True,False,One year,True,Bank transfer (automatic),62.15,2215.45,False,4,61.540277777777774,2-3 years,2-3 yearsOne year,False,12.308055555555557,0.4444444444444444,59.81388888888888,2175.25,140
1862-QRWPE,False,False,True,True,48,True,False,False,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),20.65,1057.0,False,1,21.571428571428573,3-4 years,3-4 yearsTwo year,False,10.785714285714286,0.1111111111111111,21.15,991.2,48
2796-NNUFI,False,False,True,True,46,True,False,False,False,False,False,False,False,False,Two year,True,Mailed check,19.95,927.1,False,1,19.72553191489362,3-4 years,3-4 yearsTwo year,False,9.86276595744681,0.1111111111111111,19.301063829787232,917.7,46
3016-KSVCP,True,False,True,False,29,False,False,True,False,False,False,False,True,False,Month-to-month,False,Mailed check,33.75,1009.25,False,2,33.641666666666666,2-3 years,2-3 yearsMonth-to-month,False,11.213888888888889,0.2222222222222222,32.516666666666666,978.75,58
4767-HZZHQ,True,False,True,True,30,True,False,True,False,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),82.05,2570.2,False,4,82.90967741935484,2-3 years,2-3 yearsMonth-to-month,True,16.581935483870968,0.4444444444444444,80.26290322580644,2461.5,120
2424-WVHPL,True,True,False,False,1,True,False,True,False,False,False,True,False,False,Month-to-month,False,Electronic check,74.7,74.7,False,3,37.35,<1 year,<1 yearMonth-to-month,True,9.3375,0.3333333333333333,0.0,74.7,3
7233-PAHHL,True,False,True,True,66,True,True,True,True,False,True,True,True,True,Two year,True,Mailed check,84.0,5714.25,False,8,85.28731343283582,5+ years,5+ yearsTwo year,True,9.47636815920398,0.8888888888888888,84.03358208955224,5544.0,528
6067-NGCEU,False,False,False,False,65,True,True,True,True,True,True,False,True,True,Month-to-month,True,Credit card (automatic),111.05,7107.0,False,8,107.6818181818182,5+ years,5+ yearsMonth-to-month,True,11.964646464646464,0.8888888888888888,105.99924242424242,7218.25,520
9848-JQJTX,True,False,False,False,72,True,True,True,False,True,True,False,True,True,Two year,True,Bank transfer (automatic),100.9,7459.05,False,7,102.17876712328768,5+ years,5+ yearsTwo year,True,12.77234589041096,0.7777777777777778,100.79657534246576,7264.8,504
8637-XJIVR,False,False,False,False,12,True,True,True,True,False,False,False,False,False,Month-to-month,True,Electronic check,78.95,927.35,True,4,71.33461538461539,<1 year,<1 yearMonth-to-month,True,14.266923076923078,0.4444444444444444,65.26153846153846,947.4,48
9803-FTJCG,True,False,True,True,71,True,True,True,True,True,False,True,False,False,One year,True,Credit card (automatic),66.85,4748.7,False,6,65.95416666666667,5+ years,5+ yearsOne year,False,9.42202380952381,0.6666666666666666,65.02569444444444,4746.349999999999,426
0278-YXOOG,True,False,False,False,5,True,False,False,False,False,False,False,False,False,Month-to-month,False,Mailed check,21.05,113.85,True,1,18.975,<1 year,<1 yearMonth-to-month,False,9.4875,0.1111111111111111,15.466666666666669,105.25,5
3212-KXOCR,True,False,False,False,52,True,False,False,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),21.0,1107.2,False,1,20.89056603773585,4-5 years,4-5 yearsTwo year,False,10.445283018867926,0.1111111111111111,20.49433962264151,1092.0,52
4598-XLKNJ,False,True,True,False,25,True,False,True,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.5,2514.5,True,6,96.71153846153848,2-3 years,2-3 yearsMonth-to-month,True,13.815934065934067,0.6666666666666666,92.92307692307692,2462.5,150
6380-ARCEH,True,False,False,False,1,True,False,False,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.2,20.2,False,1,10.1,<1 year,<1 yearMonth-to-month,False,5.05,0.1111111111111111,0.0,20.2,1
3679-XASPY,False,False,True,True,1,True,False,False,False,False,False,False,False,False,Month-to-month,False,Electronic check,19.45,19.45,False,1,9.725,<1 year,<1 yearMonth-to-month,False,4.8625,0.1111111111111111,0.0,19.45,1
7123-WQUHX,True,False,False,False,38,True,True,True,False,False,True,True,True,False,One year,False,Bank transfer (automatic),95.0,3605.6,False,6,92.45128205128204,3-4 years,3-4 yearsOne year,True,13.207326007326008,0.6666666666666666,90.01538461538462,3610.0,228
5386-THSLQ,False,True,True,False,66,False,False,True,False,True,True,False,True,False,One year,False,Bank transfer (automatic),45.55,3027.25,False,4,45.18283582089552,5+ years,5+ yearsOne year,False,9.036567164179104,0.4444444444444444,44.502985074626864,3006.3,264
3192-NQECA,True,False,True,False,68,True,True,True,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),110.0,7611.85,True,8,110.31666666666668,5+ years,5+ yearsTwo year,True,12.257407407407408,0.8888888888888888,108.72246376811594,7480.0,544
6180-YBIQI,True,False,False,False,5,False,False,True,False,False,False,False,False,False,Month-to-month,False,Mailed check,24.3,100.2,False,1,16.7,<1 year,<1 yearMonth-to-month,False,8.35,0.1111111111111111,12.65,121.5,5
6728-DKUCO,False,False,True,True,72,True,True,True,True,True,False,False,True,True,One year,True,Electronic check,104.15,7303.05,False,7,100.0417808219178,5+ years,5+ yearsOne year,True,12.505222602739726,0.7777777777777778,98.61506849315067,7498.8,504
9750-BOOHV,False,False,False,False,32,False,False,True,True,False,False,False,False,False,One year,False,Mailed check,30.15,927.65,False,2,28.11060606060606,2-3 years,2-3 yearsOne year,False,9.37020202020202,0.2222222222222222,27.196969696969692,964.8,64
8597-CWYHH,True,False,False,False,43,True,True,True,False,False,False,False,True,True,One year,False,Mailed check,94.35,3921.3,False,5,89.12045454545455,3-4 years,3-4 yearsOne year,True,14.853409090909093,0.5555555555555556,86.97613636363637,4057.05,215
2848-YXSMW,True,False,True,True,72,True,False,False,False,False,False,False,False,False,Two year,False,Credit card (automatic),19.4,1363.25,False,1,18.67465753424657,5+ years,5+ yearsTwo year,False,9.337328767123289,0.1111111111111111,18.40890410958904,1396.8,72
0486-HECZI,True,False,True,False,55,True,True,True,True,True,False,False,True,False,Month-to-month,True,Electronic check,96.75,5238.9,True,6,93.55178571428571,4-5 years,4-5 yearsMonth-to-month,True,13.36454081632653,0.6666666666666666,91.82410714285712,5321.25,330
